Numero	Nimi	Valmistaja	Pullokoko	Hinta	Litrahinta	Uutuus	Hinnastojärjestyskoodi	Tyyppi	Alatyyppi	Erityisryhmä	Oluttyyppi	Valmistusmaa	Alue	Ala-alue	Vuosikerta	Etikettimerkintöjä	Huomautus	Rypäleet	Luonnehdinta	Pakkaustyyppi	Suljentatyyppi	Alkoholi	Hapot g/l	Sokeri g/l	Kantavierrep	Väri EBC	Katkerot EBU	Energia kcal/100 ml	Valikoima
405357	Achaval Ferrer Finca Mirador 2010		0,75	75,70	100,93		110	punaviinit				Argentiina	Mendoza		2010	Achaval-Ferrer, Mendoza			Täyteläinen , tanniininen, tummakirsikkainen, mustikkainen, mausteinen, tamminen, lämmin, runsas	pullo	luonnonkorkki	14,00	6,4					90	erikoisvalikoima
478027	Achaval Ferrer Malbec 2011		0,75	22,40	29,87		110	punaviinit				Argentiina	Mendoza		2011	Achaval Ferrer, Mendoza			Täyteläinen , tanniininen, hapankirsikkainen, boysenmarjainen, kevyen kukkainen, mausteinen, rodukas, lämmin	pullo	luonnonkorkki	14,50	5,7					90	erikoisvalikoima
462067	Achaval Ferrer Quimera 2010		0,75	40,60	54,13		110	punaviinit				Argentiina	Mendoza		2010	Achaval-Ferrer, Mendoza			Täyteläinen , tanniininen, tummakirsikkainen, kypsän karpaloinen, kevyen vadelmainen, mausteinen, tamminen, lämmin, pitkä	pullo	luonnonkorkki	14,00	6,5					90	erikoisvalikoima
440567	Alamos Malbec 2013		0,75	9,97	13,16		110	punaviinit				Argentiina	Mendoza		2013	Alamos, Mendoza		Malbec	Täyteläinen , tanniininen, marjainen, karhunvatukkainen, hennon kukkainen, mausteinen	pullo	metallinen kierrekapseli	13,50	5,2					90	vakiovalikoima
424107	Alamos Tempranillo 2012		0,75	9,97	13,16		110	punaviinit				Argentiina	Mendoza		2012	Alamos, Mendoza		Tempranillo	Täyteläinen , keskitanniininen, tummakirsikkainen, luumuinen, karpaloinen, mausteinen	pullo	metallinen kierrekapseli	13,50	4,6					90	vakiovalikoima
470547	Andeluna Pasionado Cuatro Cepas 2007		0,75	38,50	51,33		110	punaviinit				Argentiina	Mendoza		2007	Andeluna Cellars, Mendoza		Cabernet Sauvignon, Merlot, Malbec, Cabernet Franc	Erittäin täyteläinen , tanniininen, mustaherukkahilloinen, tummakirsikkainen, mustikkainen, mausteinen, tamminen, roteva, pitkä	pullo	luonnonkorkki	15,00	5,9					100	vakiovalikoima
451687	Argento Seleccion Malbec 2013		0,75	9,98	13,17		110	punaviinit				Argentiina	Mendoza		2013	Argento Wine Company, Mendoza		Malbec	Täyteläinen , keskitanniininen, karhunvatukkainen, kypsän kirsikkainen, mausteinen, tamminen	pullo	metallinen kierrekapseli	13,50	4,8					90	vakiovalikoima
454597	BenMarco Expresivo 2011		0,75	25,70	34,13		110	punaviinit				Argentiina	Mendoza		2011	Dominio del Plata, Mendoza		Malbec, Cabernet Sauvignon, Tannat, Syrah, Petit Verdot, Bonarda	Erittäin täyteläinen , tanniininen, mustaherukkahilloinen, luumuinen, karhunvatukkainen, mausteinen, tamminen, roteva, pitkä	pullo	luonnonkorkki	14,50	5,9					100	vakiovalikoima
006504	Caballero de la Cepa Cabernet Sauvignon 2012		0,75	9,96	13,15		110	punaviinit				Argentiina	Mendoza		2012	Finca Flichman, Mendoza		Cabernet Sauvignon	Täyteläinen , tanniininen, boysenmarjainen, kirsikkahilloinen, yrttinen, mausteinen, kevyen tamminen	pullo	metallinen kierrekapseli	14,00	5,1					90	vakiovalikoima
004551	Caballo de Mendoza 		0,75	6,98	9,17		110	punaviinit				Argentiina	Mendoza			Altia,  		Sangiovese, Malbec	Keskitäyteläinen , keskitanniininen, tumman marjainen, mausteinen, kevyen yrttinen, hennon vaniljainen	pullo	metallinen kierrekapseli	13,00	5,1					80	vakiovalikoima
445518	Caballo de Mendoza  hanapakkaus		3,00	25,90	8,63		110	punaviinit				Argentiina	Mendoza			Altia		Sangiovese, Malbec	Keskitäyteläinen , keskitanniininen, tumman marjainen, mausteinen, kevyen yrttinen, hennon vaniljainen	hanapakkaus	kartonkipakkaus	13,00	5,1					80	vakiovalikoima
487307	Cameleon Organic Cabernet Sauvignon 2013		0,75	9,98	13,17		110	punaviinit		luomu		Argentiina	Mendoza		2013	Jean Bousquet, Tupungato Valley		Cabernet Sauvignon	Täyteläinen , tanniininen, herukkainen, makean karpaloinen, pippurinen, tamminen, lämmin	pullo	metallinen kierrekapseli	14,00	5,3					90	vakiovalikoima
404038	Cameleon Organic Malbec 2013 hanapakkaus		3,00	33,90	11,30		110	punaviinit		luomu		Argentiina	Mendoza		2013	Domaine Jean Bousquet, Tupungato Valley		Malbec	Täyteläinen , keskitanniininen, kirsikkainen, hennon karhunvatukkainen, kevyen mausteinen	hanapakkaus	kartonkipakkaus	14,00	5,1					90	vakiovalikoima
429617	Domaine Bousquet Reserve Organic Malbec 2011		0,75	13,79	18,25		110	punaviinit		luomu		Argentiina	Mendoza		2011	Domaine Jean Bousquet, Tupungato Valley		Malbec, Cabernet Sauvignon, Merlot, Shiraz	Täyteläinen , tanniininen, tummakirsikkainen, karpalohilloinen, kukkainen, mausteinen, tamminen	pullo	luonnonkorkki	14,50	5,6	4				90	vakiovalikoima
425998	Espíritu de Argentina Shiraz Malbec  hanapakkaus		3,00	28,90	9,63		110	punaviinit				Argentiina	Mendoza			Monte Real, Mendoza		Shiraz, Malbec	Keskitäyteläinen , keskitanniininen, tumman marjainen, kevyen karpaloinen, hennon mausteinen	hanapakkaus	kartonkipakkaus	14,00	5,5	8				90	vakiovalikoima
456707	Famiglia Bianchi Malbec 2011		0,75	11,99	15,85		110	punaviinit				Argentiina	Mendoza		2011	Valentin Bianchi, San Rafael		Malbec	Erittäin täyteläinen , tanniininen, luumuinen, boysenmarjainen, mausteinen, kahvinen, tamminen, lämmin	pullo	luonnonkorkki	14,50	5,1	4				90	vakiovalikoima
006404	Finca Flichman Shiraz Roble 2012		0,75	8,96	11,81		110	punaviinit				Argentiina	Mendoza		2012	Finca Flichman, Mendoza		Syrah	Täyteläinen , keskitanniininen, tummakirsikkainen, hennon nahkainen, mausteinen, mokkainen	pullo	metallinen kierrekapseli	13,00	4,4					80	vakiovalikoima
481217	Fuzion Alta Reserva Malbec - Tempranillo 2012		0,75	9,22	12,16		110	punaviinit				Argentiina	Mendoza		2012	Fuzion Wines, Mendoza		Malbec, Tempranillo	Täyteläinen , keskitanniininen, kirsikkainen, mustaherukkainen, kevyen vadelmainen, hennon toffeinen, mausteinen	pullo	metallinen kierrekapseli	13,50	5,8	5				90	vakiovalikoima
431608	Fuzion Bonarda Malbec 2012 hanapakkaus		3,00	27,90	9,30		110	punaviinit				Argentiina	Mendoza		2012	Fuzion Wines		Bonarda, Malbec	Keskitäyteläinen , keskitanniininen, karpaloinen, vadelmahilloinen, kevyen mausteinen	hanapakkaus	kartonkipakkaus	13,00	5,2					80	vakiovalikoima
469428	Fuzion Cabernet Sauvignon Malbec 2010 hanapakkaus		3,00	29,90	9,97		110	punaviinit		luomu		Argentiina	Mendoza		2010	Familia Zuccardi, Mendoza		Cabernet Sauvignon, Malbec	Keskitäyteläinen , keskitanniininen, kirsikkainen, mausteinen, kevyen vaniljainen	hanapakkaus	kartonkipakkaus	14,00	5,1					90	vakiovalikoima
431787	Fuzion Organic Malbec 2013		0,75	8,30	10,93		110	punaviinit		luomu		Argentiina	Mendoza		2013	Fuzion Wines, Mendoza		Malbec	Keskitäyteläinen , keskitanniininen, tummakirsikkainen, kevyen vadelmainen, mausteinen	pullo	metallinen kierrekapseli	13,50	5,4					80	vakiovalikoima
480007	Kaiken Malbec 2011		0,75	10,45	13,80		110	punaviinit				Argentiina	Mendoza		2011	Kaiken, Mendoza		Malbec, Cabernet Sauvignon	Täyteläinen , tanniininen, kirsikkahilloinen, mausteinen, vaniljainen, tamminen, lämmin	pullo	luonnonkorkki	14,50	4,4					100	vakiovalikoima
446877	La Celia Pioneer Reserve Merlot 2012		0,75	11,67	15,43		110	punaviinit		eettinen		Argentiina	Mendoza		2012	Finca La Celia, Uco Valley		Merlot	Täyteläinen , keskitanniininen, tumman luumuinen, mustikkainen, mausteinen, kevyen suklainen, tamminen	pullo	metallinen kierrekapseli	14,50	5,2					90	vakiovalikoima
459247	La Celia Pioneer Reserve Pinot Noir 2011		0,75	11,88	15,71		110	punaviinit		eettinen		Argentiina	Mendoza		2011	Finca La Celia, Uco Valley		Pinot Noir	Keskitäyteläinen , keskitanniininen, kirsikkainen, karpaloinen, mausteinen, kevyen tamminen	pullo	metallinen kierrekapseli	13,50	5,1					90	vakiovalikoima
493017	La Chamiza Malbec 2013		0,75	7,98	10,51		110	punaviinit				Argentiina	Mendoza		2013	Finca La Chamiza, Mendoza		Malbec	Keskitäyteläinen , keskitanniininen, marjainen, luumuinen, kevyen mausteinen, hennon vaniljainen	pullo	metallinen kierrekapseli	12,50	5,4					80	vakiovalikoima
460107	Luigi Bosca Cabernet Franc  2010		0,75	17,03	22,57		110	punaviinit				Argentiina	Mendoza		2010	Bodega Luigi Bosca, Luján de Cuyo, Mendoza		Cabernet Franc	Täyteläinen , tanniininen, kypsän luumuinen, viikunainen, nahkainen, kevyen tamminen	pullo	luonnonkorkki	14,50	5,3					90	vakiovalikoima
430377	Luigi Bosca Cabernet Sauvignon 2011		0,75	15,07	19,96		110	punaviinit				Argentiina	Mendoza		2011	Luigi Bosca, Maipú, Mendoza		Cabernet Sauvignon	Täyteläinen , tanniininen, mustaherukkainen, tumman marjainen, mausteinen, yrttinen, tamminen, lämmin	pullo	luonnonkorkki	14,00	5,2					90	vakiovalikoima
478147	Luigi Bosca De Sangre 2011		0,75	24,20	32,27		110	punaviinit				Argentiina	Mendoza		2011	Bodega Luigi Bosca, Maipu		Cabernet Sauvignon, Syrah, Merlot	Täyteläinen , tanniininen, tumman luumuinen, mustaherukkahilloinen, kaakaoinen, mausteinen, tamminen, lämmin, pitkä	pullo	luonnonkorkki	14,50	5,3					90	vakiovalikoima
479437	Masi Tupungato Corbec 2009		0,75	29,60	39,33		110	punaviinit				Argentiina	Mendoza		2009	Masi Tupungato, Valle de Uco		Corvina, Malbec	Täyteläinen , keskitanniininen, tummakirsikkainen, karhunvatukkainen, mausteisen tamminen, runsas, lämmin	pullo	luonnonkorkki	14,50	5,7					90	vakiovalikoima
459657	Nieto Senetiner Malbec 2011		0,75	10,29	13,59		110	punaviinit				Argentiina	Mendoza		2011	Nieto Senetiner, Mendoza		Malbec	Täyteläinen , keskitanniininen, tumman marjainen, kypsän karpaloinen, mausteinen, vaniljainen	pullo	metallinen kierrekapseli	14,50	4,8					90	vakiovalikoima
445147	Norton Barrel Select Cabernet Sauvignon 2012		0,75	10,99	14,52		110	punaviinit				Argentiina	Mendoza		2012	Bodega Norton, Mendoza		Cabernet Sauvignon	Täyteläinen , tanniininen, punaherukkainen, tummakirsikkainen, mausteinen, maitokahvinen	pullo	metallinen kierrekapseli	14,00	5,2					90	vakiovalikoima
464277	Norton Barrel Select Malbec 2012		0,75	9,98	13,17		110	punaviinit				Argentiina	Mendoza		2012	Bodega Norton, Mendoza		Malbec	Täyteläinen , tanniininen, tummakirsikkainen, karhunvatukkainen, mausteinen, kevyen tamminen, lämmin	pullo	metallinen kierrekapseli	14,00	4,7					90	vakiovalikoima
432417	Norton Privada 2010		0,75	18,89	25,05		110	punaviinit				Argentiina	Mendoza		2010	Bodega Norton, Mendoza		Malbec, Cabernet Sauvignon, Merlot	Erittäin täyteläinen , tanniininen, runsaan marjainen, tumman luumuinen, mausteinen, tamminen, lämmin	pullo	luonnonkorkki	14,50	4,5					90	vakiovalikoima
442377	Pascual Toso Cabernet Sauvignon 2013		0,75	11,75	15,53		110	punaviinit				Argentiina	Mendoza		2013	Pascual Toso, Mendoza		Cabernet Sauvignon	Täyteläinen , tanniininen, mustaherukkainen, tummakirsikkainen, mausteinen, tamminen, lämmin	pullo	metallinen kierrekapseli	14,00	5,5					90	vakiovalikoima
498328	Pascual Toso Limited Selection Malbec Shiraz Cabernet Sauvignon 2011 hanapakkaus		1,50	21,60	14,40		110	punaviinit				Argentiina	Mendoza		2011	Pascual Toso , Barrancas Vineyards		Malbec, Shiraz, Cabernet Sauvignon	Täyteläinen , keskitanniininen, hapankirsikkainen, luumuinen, mausteinen, hennon nahkainen	hanapakkaus	kartonkipakkaus	14,00	5,6					90	vakiovalikoima
405507	Paula Syrah 2012		0,75	9,98	13,17		110	punaviinit				Argentiina	Mendoza		2012	Viña Doña Paula, Mendoza		Syrah	Täyteläinen , keskitanniininen, tumman marjainen, kevyen luumuinen, hennon minttuinen, mausteinen	pullo	metallinen kierrekapseli	14,00	4,9					90	vakiovalikoima
