Alkon hinnasto 20.4.2016Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.

Numero	Nimi	Valmistaja	Pullokoko	Hinta	Litrahinta	Uutuus	Hinnastojärjestyskoodi	Tyyppi	Erityisryhmä	Oluttyyppi	Valmistusmaa	Alue	Vuosikerta	Etikettimerkintöjä	Huomautus	Rypäleet	Luonnehdinta	Pakkaustyyppi	Suljentatyyppi	Alkoholi-%	Hapot g/l	Sokeri g/l	Kantavierrep-%	Väri EBC	Katkerot EBU	Energia kcal/100 ml	Valikoima
405357	Achaval Ferrer Finca Mirador 2010	Achaval-Ferrer, Mendoza	0,75	75,70	100,93		110	punaviinit			Argentiina	Mendoza	2010	Achaval-Ferrer, Mendoza			Täyteläinen , tanniininen, tumman kirsikkainen, mustikkainen, mausteinen, tamminen, lämmin, runsas	pullo	luonnonkorkki	14,0	6,4					90	erikoisvalikoima
440567	Alamos Malbec 2015	Alamos, Mendoza	0,75	9,99	13,19		110	punaviinit			Argentiina	Mendoza	2015	Alamos, Mendoza		Malbec	Täyteläinen , keskitanniininen, luumuhilloinen, kypsän karpaloinen, hennon kukkainen, mausteinen	pullo	metallinen kierrekapseli	13,5	4,4					90	vakiovalikoima
424107	Alamos Tempranillo 2014	Alamos, Mendoza	0,75	9,99	13,19		110	punaviinit			Argentiina	Mendoza	2014	Alamos, Mendoza		Tempranillo	Täyteläinen , keskitanniininen, tumman kirsikkainen, mustikkainen, karpaloinen, kevyen kukkainen, mausteinen	pullo	metallinen kierrekapseli	13,0	5,1					90	vakiovalikoima
451687	Argento Seleccion Malbec 2015	Argento Wine Company, Mendoza	0,75	9,99	13,19		110	punaviinit			Argentiina	Mendoza	2015	Argento Wine Company, Mendoza		Malbec	Täyteläinen , keskitanniininen, karhunvatukkainen, tumman kirsikkainen, kevyen kukkainen, hennon yrttinen, mausteinen	pullo	metallinen kierrekapseli	13,5	4,8					90	vakiovalikoima
454597	BenMarco Expresivo 2013	Dominio del Plata, Valle de Uco	0,75	28,90	38,40		110	punaviinit			Argentiina	Mendoza	2013	Dominio del Plata, Valle de Uco		Malbec, Cabernet Franc, Cabernet Sauvignon	Erittäin täyteläinen , tanniininen, mustikkahilloinen, mustaherukkainen, karhunvatukkainen, mausteinen, tamminen, roteva, pitkä	pullo	luonnonkorkki	14,5	5,7					100	vakiovalikoima
430097	Bodega Piedra Negra Merlot Reserve 2014	Bodega Piedra Negra, Valle de Uco	0,75	14,90	19,73		110	punaviinit			Argentiina	Mendoza	2014	Bodega Piedra Negra, Valle de Uco		Merlot	Täyteläinen , keskitanniininen, mustikkahilloinen, tumman luumuinen, mausteinen, hennon mokkainen, tamminen	pullo	luonnonkorkki	14,5	4,9	5				100	vakiovalikoima
004551	Caballo de Mendoza	Altia,	0,75	6,98	9,17		110	punaviinit			Argentiina	Mendoza		Altia,		Sangiovese, Malbec	Keskitäyteläinen , keskitanniininen, metsämarjainen, kevyen kirsikkainen, mausteinen	pullo	metallinen kierrekapseli	13,5	5,2					80	vakiovalikoima
445518	Caballo de Mendoza  hanapakkaus	Altia	3,00	26,30	8,77		110	punaviinit			Argentiina	Mendoza		Altia		Sangiovese, Malbec	Keskitäyteläinen , keskitanniininen, metsämarjainen, kevyen kirsikkainen, mausteinen	hanapakkaus	kartonkipakkaus	13,0	5,2					80	vakiovalikoima
487307	Cameleon Organic Cabernet Sauvignon 2015	Jean Bousquet, Tupungato Valley	0,75	10,98	14,51		110	punaviinit	luomu		Argentiina	Mendoza	2015	Jean Bousquet, Tupungato Valley		Cabernet Sauvignon	Täyteläinen , tanniininen, boysenmarjahilloinen, kirsikkainen, mausteinen	pullo	metallinen kierrekapseli	14,0	5,7					90	vakiovalikoima
404038	Cameleon Organic Malbec 2015 hanapakkaus	Domaine Jean Bousquet, Tupungato Valley	3,00	29,90	9,97		110	punaviinit	luomu		Argentiina	Mendoza	2015	Domaine Jean Bousquet, Tupungato Valley		Malbec	Keskitäyteläinen , keskitanniininen, kirsikkainen, hennon karhunvatukkainen, yrttinen, kevyen mausteinen	hanapakkaus	kartonkipakkaus	13,5	5,3					90	vakiovalikoima
